iter	Passed	Remaining
445	1135	1410
446	1138	1408
447	1144	1409
448	1145	1405
449	1146	1401
450	1147	1397
451	1149	1393
452	1151	1389
453	1152	1385
454	1153	1382
455	1157	1381
456	1163	1382
457	1164	1378
458	1166	1374
459	1167	1370
460	1169	1366
461	1170	1362
462	1172	1360
463	1175	1357
464	1177	1355
465	1180	1352
466	1188	1356
467	1189	1352
468	1191	1348
469	1193	1345
470	1194	1341
471	1195	1337
472	1196	1333
473	1198	1330
474	1206	1333
475	1209	1331
476	1211	1328
477	1212	1324
478	1214	1320
479	1221	1323
480	1224	1321
481	1225	1317
482	1227	1314
483	1237	1319
484	1242	1319
485	1252	1324
486	1253	1320
487	1256	1318
488	1258	1314
489	1259	1310
490	1260	1307
491	1264	1305
492	1271	1307
493	1273	1304
494	1281	1307
495	1283	1303
496	1286	1302
497	1318	1328
498	1331	1336
499	1334	1334
500	1362	1356
501	1365	1354
502	1375	1358
503	1409	1387
504	1414	1386
505	1429	1395
506	1431	1392
507	1451	1405
508	1453	1402
509	1454	1397
510	1456	1393
511	1466	1397
512	1470	1396
513	1485	1404
514	1497	1410
515	1498	1405
516	1513	1413
517	1515	1409
518	1517	1406
519	1518	1402
520	1519	1397
521	1526	1398
522	1528	1393
523	1529	1389
524	1530	1384
525	1531	1379
526	1532	1375
527	1533	1370
528	1534	1365
529	1535	1361
530	1538	1358
531	1540	1355
532	1542	1351
533	1542	1346
534	1543	1341
535	1544	1337
536	1545	1332
537	1546	1328
538	1547	1323
539	1548	1319
540	1549	1314
541	1550	1309
542	1554	1308
543	1556	1304
544	1557	1300
545	1558	1295
546	1559	1291
547	1559	1286
548	1560	1282
549	1561	1277
550	1562	1273
551	1562	1268
552	1563	1263
553	1564	1259
554	1565	1255
555	1569	1253
556	1572	1250
557	1573	1246
558	1574	1242
559	1575	1237
560	1576	1233
561	1576	1228
562	1577	1224
563	1578	1220
564	1579	1216
565	1580	1211
566	1580	1207
567	1582	1203
568	1584	1200
569	1585	1196
570	1586	1192
571	1587	1187
572	1588	1183
573	1589	1179
574	1590	1175
575	1590	1171
576	1591	1167
577	1592	1162
578	1593	1158
579	1594	1154
580	1596	1151
581	1600	1149
582	1601	1145
583	1602	1141
584	1603	1137
585	1604	1133
586	1605	1129
587	1606	1125
588	1606	1121
589	1607	1117
590	1608	1113
591	1609	1109
592	1610	1105
593	1612	1102
594	1613	1098
595	1615	1094
596	1615	1090
597	1616	1086
598	1617	1082
599	1617	1078
600	1618	1074
601	1619	1070
602	1620	1066
603	1621	1062
604	1622	1059
605	1623	1055
606	1624	1051
607	1628	1049
608	1630	1046
609	1631	1042
610	1632	1039
611	1634	1036
612	1635	1032
613	1636	1028
614	1637	1025
615	1643	1024
616	1645	1021
617	1646	1017
618	1648	1014
619	1649	1010
620	1649	1006
621	1650	1003
622	1651	999
623	1652	995
624	1653	991
625	1654	988
626	1654	984
627	1656	981
628	1658	978
629	1660	975
630	1661	971
631	1661	967
632	1662	963
633	1663	960
634	1664	956
635	1665	953
636	1666	949
637	1667	946
638	1668	942
639	1669	939
640	1674	937
641	1675	934
642	1676	930
643	1677	927
644	1678	923
645	1679	920
646	1680	916
647	1680	913
648	1682	909
649	1683	906
650	1684	902
651	1687	900
652	1689	897
653	1690	894
654	1690	890
655	1691	887
656	1692	883
657	1693	880
658	1694	876
659	1694	873
660	1695	869
661	1696	866
662	1697	862
663	1697	859
664	1698	855
665	1701	853
666	1703	850
667	1703	846
668	1704	843
669	1705	840
670	1706	836
671	1707	833
672	1708	830
673	1709	826
674	1709	823
675	1710	819
676	1711	816
677	1712	813
678	1713	810
679	1715	807
680	1717	804
681	1718	801
682	1719	797
683	1720	794
684	1720	791
685	1721	788
686	1722	784
687	1723	781
688	1724	778
689	1725	775
690	1726	771
691	1727	768
692	1728	765
693	1731	763
694	1733	760
695	1734	757
696	1735	754
697	1736	751
698	1737	748
699	1737	744
700	1738	741
701	1739	738
702	1740	735
703	1741	732
704	1743	729
705	1744	726
706	1746	723
707	1747	720
708	1748	717
709	1749	714
710	1749	711
711	1751	708
712	1751	705
713	1752	702
714	1753	699
715	1754	695
716	1755	692
717	1756	689
718	1757	686
719	1760	684
720	1761	681
721	1762	678
722	1763	675
723	1763	672
724	1764	669
725	1765	666
726	1766	663
727	1767	660
728	1768	657
729	1768	654
730	1769	651
731	1770	648
732	1771	645
733	1772	642
734	1775	639
735	1776	637
736	1778	634
737	1779	631
738	1780	628
739	1781	625
740	1781	622
741	1782	619
742	1783	616
743	1784	613
744	1785	611
745	1787	608
746	1789	606
747	1791	603
748	1792	600
749	1793	597
750	1794	594
751	1794	591
752	1796	589
753	1797	586
754	1798	583
755	1799	580
756	1801	578
757	1804	576
758	1806	573
759	1806	570
760	1807	567
761	1808	564
762	1809	561
763	1809	559
764	1810	556
765	1811	553
766	1812	550
767	1812	547
768	1813	544
769	1814	541
770	1815	539
771	1817	536
772	1818	534
773	1820	531
774	1820	528
775	1821	525
776	1822	523
777	1823	520
778	1824	517
779	1824	514
780	1825	511
781	1826	509
782	1827	506
783	1827	503
784	1828	500
785	1829	498
786	1831	495
787	1833	493
788	1835	490
789	1836	488
790	1837	485
791	1838	482
792	1840	480
793	1841	477
794	1842	474
795	1842	472
796	1843	469
797	1844	466
798	1847	464
799	1849	462
800	1849	459
801	1850	456
802	1851	454
803	1852	451
804	1852	448
805	1853	446
806	1854	443
807	1854	440
808	1855	438
809	1856	435
810	1857	432
811	1858	430
812	1859	427
813	1861	425
814	1863	422
815	1863	420
816	1864	417
817	1865	415
818	1866	412
819	1866	409
820	1867	407
821	1868	404
822	1869	401
823	1869	399
824	1870	396
825	1872	394
826	1872	391
827	1873	389
828	1874	386
829	1877	384
830	1877	381
831	1878	379
832	1879	376
833	1880	374
834	1880	371
835	1881	369
836	1882	366
837	1883	364
838	1884	361
839	1884	359
840	1885	356
841	1886	354
842	1887	351
843	1888	348
844	1890	346
845	1891	344
846	1892	341
847	1893	339
848	1894	336
849	1895	334
850	1896	331
851	1896	329
852	1897	327
853	1898	324
854	1899	322
855	1900	319
856	1900	317
857	1901	314
858	1902	312
859	1902	309
860	1906	307
861	1907	305
862	1908	302
863	1908	300
864	1909	298
865	1910	295
866	1911	293
867	1912	290
868	1913	288
869	1914	286
870	1914	283
871	1915	281
872	1916	278
873	1917	276
874	1917	273
875	1919	271
876	1921	269
877	1922	267
878	1922	264
879	1923	262
880	1924	259
881	1925	257
882	1926	255
883	1927	252
884	1927	250
885	1928	248
886	1929	245
887	1929	243
888	1930	241
889	1931	238
890	1931	236
891	1932	233
892	1933	231
893	1934	229
894	1935	227
895	1936	224
896	1936	222
897	1937	220
898	1937	217
899	1938	215
900	1939	213
901	1939	210
902	1940	208
903	1941	206
904	1941	203
905	1942	201
906	1942	199
907	1943	196
908	1943	194
909	1944	192
910	1944	190
911	1945	187
912	1946	185
913	1949	183
914	1950	181
915	1950	178
916	1951	176
917	1951	174
918	1952	172
919	1953	169
920	1953	167
921	1954	165
922	1954	163
923	1955	160
924	1956	158
925	1956	156
926	1957	154
927	1958	151
928	1958	149
929	1959	147
930	1960	145
931	1960	143
932	1962	140
933	1964	138
934	1964	136
935	1965	134
936	1966	132
937	1967	130
938	1967	127
939	1968	125
940	1969	123
941	1969	121
942	1970	119
943	1970	116
944	1971	114
945	1972	112
946	1972	110
947	1973	108
948	1974	106
949	1974	103
950	1975	101
951	1976	99
952	1977	97
953	1978	95
954	1978	93
955	1979	91
956	1980	88
957	1981	86
958	1982	84
959	1983	82
960	1984	80
961	1985	78
962	1986	76
963	1987	74
964	1988	72
965	1994	70
966	1996	68
967	1997	66
968	1998	63
969	1999	61
970	1999	59
971	2000	57
972	2001	55
973	2001	53
974	2002	51
975	2003	49
976	2003	47
977	2004	45
978	2008	43
979	2008	40
980	2009	38
981	2010	36
982	2011	34
983	2011	32
984	2012	30
985	2013	28
986	2013	26
987	2014	24
988	2015	22
989	2016	20
990	2017	18
991	2017	16
992	2018	14
993	2019	12
994	2023	10
995	2024	8
996	2025	6
997	2026	4
998	2028	2
999	2029	0
